AAPL	S&P
0.013329561	0.002843094
0.001643495	0.001918598
0.012241161	0.004064426
0.009967086	0.005565862
-0.023399461	-0.000832742
-0.000123343	0.003248048
0.022357719	-0.003027452
0.02798561	0.009615979
0.006545552	0.003697211
-0.001437878	-0.001186434
0.000427702	0.000702279
0.011475227	0.002726407
0.002732958	0.002557356
0.007887706	-0.001964373
-0.000915943	0.001563398
0.009536141	0.000711297
-0.006943395	0.000836743
0.011809192	0.007666003
0.005029563	0.000503004
-0.003037337	-0.000592739
-0.011709646	-0.003763266
-0.004493429	-0.001584031
-0.000878452	0.002172574
0.017381888	0.007479299
-0.007839328	0.002193123
0.013342995	0.004165779
-0.002205466	-0.004019317
-0.011629418	-0.008668528
-0.017991032	-0.006660172
0.008787619	0.006303639
0.014564389	0.001499152
0.019132161	0.009094252
-0.014099077	-0.003167849
0.005827347	-0.001097555
0.00849319	0.002903981
0.002545287	0.008538608
0.0135014	7.25853E-05
0.016973246	0.007122392
0.001963292	0.000335215
-0.002392318	-0.000432354
0.001000442	0.004449309
-0.002073371	0.004932641
0.016186683	0.000865757
0.000950193	-0.000195428
0.01964617	0.005115053
-0.000379795	3.3951E-05
0.005917693	-0.005797602
0.007280079	0.002941694
0.022559762	0.008343874
-0.009769575	-0.00708491
0.007936744	0.003527166
-0.00471413	-0.002807145
0.015958217	0.004890437
0.021018374	0.006633244
0.002258175	-0.002859307
0.021139408	0.00695206
-0.013595309	-0.001515687
-0.004294713	0.001868409
0.012448593	0.008331742
0.011010098	0.003854706
-0.006799853	-0.002655477
0.003563151	0.000289046
0.004804252	0.001140314
-0.002886013	-0.009083269
-0.029846335	-0.015855725
0.027896656	0.01000335
0.020716181	-0.000867223
